year,week,team,motion_snaps,play_action_pct,,,,,
2019,5,kc,37,0.349,,,,,
2019,5,lar,28,0.245,,,,,
2019,5,lv,24,0.219,,,,,
2019,5,min,24,0.333,,,,,
2019,5,ne,46,0.255,,,,,
2019,5,no,26,0.278,,,,,
2019,5,nyg,18,0.214,,,,,
2019,5,nyj,26,0.278,,,,,
2019,5,phi,32,0.2,,,,,
2019,5,ari,33,0.212,,,,,
2019,5,pit,26,0.25,,,,,
2019,5,lac,32,0.021,,,,,
2019,5,sf,61,0.194,,,,,
2019,5,sea,41,0.333,,,,,
2019,5,tb,23,0.182,,,,,
2019,5,wsh,25,0.152,,,,,
2019,6,atl,25,0.289,,,,,
2019,6,bal,61,0.382,,,,,
2019,6,car,46,0.412,,,,,
2019,6,cin,24,0.195,,,,,
2019,6,clv,28,0.243,,,,,
2019,6,dal,40,0.146,,,,,
2019,6,den,37,0.138,,,,,
2019,6,det,26,0.171,,,,,
2019,6,gb,42,0.125,,,,,
2019,6,ten,45,0.22,,,,,
2019,6,hou,36,0.357,,,,,
2019,6,jax,31,0.194,,,,,
2019,6,kc,32,0.306,,,,,
2019,6,lar,22,0.179,,,,,
2019,6,mia,36,0.188,,,,,
2019,6,min,33,0.433,,,,,
2019,6,ne,51,0.318,,,,,
2019,6,no,35,0.179,,,,,
2019,6,nyg,18,0.219,,,,,
2019,6,nyj,13,0.206,,,,,
2019,6,phi,24,0.349,,,,,
2019,6,ari,19,0.405,,,,,
2019,6,pit,32,0.15,,,,,
2019,6,lac,33,0.111,,,,,
2019,6,sf,57,0.171,,,,,
2019,6,sea,39,0.278,,,,,
2019,6,tb,29,0.131,,,,,
2019,6,wsh,47,0.4,,,,,
2019,7,atl,25,0.132,,,,,
2019,7,bal,39,0.429,,,,,
2019,7,buf,25,0.357,,,,,
2019,7,chi,21,0.089,,,,,
2019,7,cin,36,0.178,,,,,
2019,7,dal,51,0.3,,,,,
2019,7,den,33,0.116,,,,,
2019,7,det,24,0.17,,,,,
2019,7,gb,37,0.281,,,,,
2019,7,ten,49,0.25,,,,,
2019,7,hou,33,0.27,,,,,
2019,7,ind,30,0.463,,,,,
2019,7,jax,30,0.206,,,,,
2019,7,kc,38,0.387,,,,,
2019,7,lar,29,0.368,,,,,
2019,7,lv,41,0.032,,,,,
2019,7,mia,19,0.278,,,,,
2019,7,min,31,0.471,,,,,
2019,7,ne,53,0.222,,,,,
2019,7,no,23,0.231,,,,,
2019,7,nyg,25,0.279,,,,,
2019,7,nyj,16,0.152,,,,,
2019,7,phi,27,0.103,,,,,
2019,7,ari,34,0.348,,,,,
2019,7,lac,33,0.205,,,,,
2019,7,sf,51,0.435,,,,,
2019,7,sea,32,0.167,,,,,
2019,7,wsh,30,0.267,,,,,
2019,8,atl,33,0.278,,,,,
2019,8,buf,17,0.184,,,,,
2019,8,car,41,0.273,,,,,
